RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.MachineLearningModelManagement/accounts,,
Microsoft.MachineLearningModelManagement/operations,,
Microsoft.MachineLearningServices/operations,,
Microsoft.ManagedIdentity/Identities,,TRUE
Microsoft.ManagedIdentity/operations,,TRUE
Microsoft.ManagedIdentity/userAssignedIdentities,,TRUE
Microsoft.Maps/accounts,,
Microsoft.MarketplaceApps/classicDevServices,,
Microsoft.MarketplaceOrdering/agreements,,
Microsoft.MarketplaceOrdering/offertypes,,
Microsoft.Media/locations/checkNameAvailability,UDLM,TRUE
Microsoft.Media/mediaservices,UDLM,TRUE
Microsoft.Media/mediaservices/assets,UDLM,TRUE
Microsoft.Media/mediaservices/contentKeyPolicies,UDLM,TRUE
Microsoft.Media/mediaservices/eventGridFilters,UDLM,TRUE
Microsoft.Media/mediaservices/liveEventOperations,UDLM,TRUE
Microsoft.Media/mediaservices/liveEvents,UDLM,TRUE
Microsoft.Media/mediaservices/liveEvents/liveOutputs,UDLM,TRUE
Microsoft.Media/mediaservices/liveOutputOperations,UDLM,TRUE
Microsoft.Media/mediaservices/streamingEndpointOperations,UDLM,TRUE
Microsoft.Media/mediaservices/streamingEndpoints,UDLM,TRUE
Microsoft.Media/mediaservices/streamingLocators,UDLM,TRUE
Microsoft.Media/mediaservices/streamingPolicies,UDLM,TRUE
Microsoft.Media/mediaservices/transforms,UDLM,TRUE
Microsoft.Media/mediaservices/transforms/jobs,UDLM,TRUE
Microsoft.Migrate/locations/assessmentOptions,,
Microsoft.Migrate/locations/checkNameAvailability,,
Microsoft.Migrate/operations,,
Microsoft.Migrate/projects,,
Microsoft.NetApp/operations,,
Microsoft.Network/applicationGateways,UDLM,TRUE
Microsoft.Network/applicationSecurityGroups,PROTECTED,TRUE
Microsoft.Network/checkTrafficManagerNameAvailability,UDLM,TRUE
Microsoft.Network/connections,PROTECTED,TRUE
Microsoft.Network/ddosProtectionPlans,PROTECTED,TRUE
Microsoft.Network/dnsOperationResults,,TRUE
Microsoft.Network/dnsOperationStatuses,,TRUE
Microsoft.Network/dnszones,,TRUE
Microsoft.Network/dnszones/A,,TRUE
Microsoft.Network/dnszones/AAAA,,TRUE
Microsoft.Network/dnszones/all,,TRUE
Microsoft.Network/dnszones/CAA,,TRUE
Microsoft.Network/dnszones/CNAME,,TRUE
Microsoft.Network/dnszones/MX,,TRUE
Microsoft.Network/dnszones/NS,,TRUE
Microsoft.Network/dnszones/PTR,,TRUE
Microsoft.Network/dnszones/recordsets,,TRUE
Microsoft.Network/dnszones/SOA,,TRUE
